rho,iter,conv,bound,wmax,xerr,xbar
0.1,40,640.0080456306368,-110070.13762197917,131.26577020167034,40.07324161589253,96.0366139352 274.036627681 129.926758384
0.1,41,640.0031157870678,-110005.7592603213,133.6680496673229,40.045582970018586,96.0227883134 274.022794657 129.95441703
0.1,42,640.0001194963226,-109942.09999978398,136.06849777108064,40.0089621250242,96.0044810873 274.004481038 129.991037875
0.1,43,640.0002858333874,-109878.24040395091,138.46780625402468,39.98617059981933,95.9930857703 273.99308483 130.0138294
0.1,44,640.0005018037212,-109814.02372367584,140.866890720407,39.98168949347914,95.9908448295 273.990844664 130.018310507
0.1,45,640.0001936240059,-109749.73685420668,143.26632094015883,39.98860414622868,95.9943019486 273.994302198 130.011395854
0.1,46,640.0000062853358,-109685.7023951234,145.6662089209448,39.99775934887819,95.9988795409 273.998879808 130.002240651
0.1,47,640.0000166044892,-109621.71397166667,148.06638179273392,40.00345722190423,96.0017285039 274.001728718 129.996542778
0.1,48,640.0000300185787,-109557.69610891232,150.466610677455,40.004577490096125,96.0022886428 274.002288847 129.99542251
0.1,49,640.0000105087524,-109493.67245798266,152.866753130095,40.00284881125384,96.0014242847 274.001424527 129.997151189
0.1,50,639.9999985897455,-109429.69373637141,155.2667811436737,40.000559989315775,96.0002798534 274.000280136 129.999440011
0.1,51,639.9999984410578,-109365.70251209836,157.6667379368002,39.99913547333762,95.9995675419 273.999567931 130.000864527
0.1,52,639.9999988566208,-109301.6889712447,160.0666807278752,39.99885535022713,95.9994274393 273.999427911 130.00114465
0.1,53,639.9999986040548,-109237.67104271994,162.46664512219664,39.99928752463887,95.9996435813 273.999643943 130.000712475
0.1,54,639.9999976495214,-109173.66890345333,164.86663812671898,39.99985975119412,95.9999297058 273.999930045 130.000140249
0.1,55,639.999997289717,-109109.6696271028,167.26664894036728,40.00021587344037,96.0001077368 274.000108137 129.999784127
0.1,56,639.9999968320839,-109045.66851063637,169.66666325777152,40.000285861326915,96.0001426871 274.000143174 129.999714139
0.1,57,639.9999960805933,-108981.6670324156,172.0666721752408,40.000177759477424,96.0000885845 274.000089175 129.999822241
0.1,58,639.999995114996,-108917.66834844826,174.466673942708,40.000034624628,96.0000169498 274.000017675 129.999965375
0.1,59,639.9999937876306,-108853.66889738469,176.86667126286505,39.999945485126574,95.9999722833 273.999973202 130.000054515
0.1,60,639.9999916679458,-108789.66805148778,179.26666771530375,39.999927824062155,95.9999632995 273.999964525 130.000072176
0.1,61,639.9999884747498,-108725.66693155472,181.6666655298933,39.9999545992747,95.9999764531 273.999978146 130.000045401
0.1,62,639.9999835189351,-108661.66681063242,184.0666651505577,39.999989997825935,95.9999937909 273.999996207 130.000010002
0.1,63,639.999975869983,-108597.66685582686,186.46666591168855,40.00001168912388,96.0000040776 274.000007612 129.999988311
0.1,64,639.9999638248191,-108533.66678592414,188.86666693520073,40.00001517920592,96.0000049438 274.000010235 129.999984821
0.1,65,639.9999436777277,-108469.66669321258,191.26666769485846,40.00000698437535,95.9999993875 274.000007597 129.999993016
0.1,66,325.00003888868986,-108469.66669321258,192.9166680374653,32.50000218872367,95.9999987624 266.500003426 137.499997811
0.1,67,156.99988848978802,-108469.66669321258,193.7166680979401,21.499995361387704,93.4999947556 258.000000606 148.500004639
0.1,68,100.24999485722326,-108469.66669321258,193.71666768809013,10.249996630692351,90.2499966307 249.999995906 159.750007464
0.1,69,132.3291002168221,-108469.66669321258,193.083339501542,7.666552523493024,87.6665525235 243.666718143 168.666729333
0.1,70,54.04899895510981,-108469.66669321258,192.3125034158942,7.708360856447001,81.4999872224 242.291639144 176.208373634
0.1,71,41.82661488987293,-108469.66669321258,191.62916427215563,11.45832675932752,75.3750646678 243.166608573 181.458326759
0.1,72,59.680402525952886,-108469.66669321258,191.05277183861497,13.79159172557371,71.9723326091 244.236075665 183.791591726
0.1,73,58.23547678610666,-108429.26060620233,190.5493013649999,13.28928163045606,71.7454231054 244.965295264 183.28928163
0.1,74,38.93313178396967,-108397.30353764968,190.12091091541396,10.93589903656607,73.3480054585 245.716095505 180.935899037
0.1,75,15.63315723466966,-108397.30353764968,189.80121376382564,7.152099191617083,76.0448723234 246.803028485 177.152099192
0.1,76,2.4543264587431572,-108397.30353764968,189.63957351897005,2.806918030357963,78.8094844182 248.383597551 172.80691803
0.1,77,0.8169619640434119,-108397.30353764968,189.66341965494277,1.2818920473230264,81.0434306784 250.238461369 168.718107953
0.1,78,6.184480626810897,-108397.30353764968,189.857597785126,4.475577999376867,82.5337966906 251.941781309 165.524422001
0.1,79,12.271618693222088,-108397.30353764968,190.16767406060066,6.391050723513672,83.2902879626 253.100762761 163.608949276
0.1,80,14.38032029076227,-108397.30353764968,190.51910334802164,6.9221025143518204,83.4078096341 253.51429288 163.077897486
0.1,81,11.593068703873382,-108396.5548999815,190.83971363393576,6.2109632798147345,83.0048604143 253.206102866 163.78903672
0.1,82,6.312638474649141,-108396.5548999815,191.07627287164232,4.583189266717596,82.2175968823 252.365592384 165.416810733
0.1,83,1.8208113853559489,-108396.5548999815,191.201783781459,2.462850339568149,81.2077412325 251.255109107 167.53714966
0.1,84,0.02479413023705257,-108396.5548999815,191.21472353990646,0.2854215973015357,80.1560240128 250.129397584 169.714578403
0.1,85,0.7470343334496248,-108396.5548999815,191.13337437274555,1.5766723799983424,79.2368192916 249.186508328 171.57667238
0.1,86,2.4642497229098526,-108396.5548999815,190.98824254947,2.865638557347637,78.5856796754 248.548681767 172.865638557
0.1,87,3.5960576723938322,-108396.5548999815,190.8145418965956,3.462170587355189,78.2748359413 248.262993471 173.462170587
0.1,88,3.431911102006894,-108396.5548999815,190.64576211176353,3.3822521835843986,78.3055456647 248.312202152 173.382252184
0.1,89,2.2720392224541053,-108390.93147384177,190.50879375799792,2.751944842247781,78.6177386954 248.630316462 172.751944842
0.1,90,0.9378231862337807,-108390.93147384177,190.42085467478174,1.7680313060763808,79.1113595261 249.120609168 171.768031306
0.1,91,0.12809622303510962,-108390.93147384177,190.38833114465584,0.6534315572179707,79.671803744 249.674764699 170.653431557
0.1,92,0.044308862305513626,-108390.93147384177,190.40746330677212,0.38430664179799123,80.1929850207 250.191321621 169.615693358
0.1,93,0.4212988576308979,-108390.93147384177,190.46655799921908,1.1850371530753137,80.5940902286 250.590946924 168.814962847
0.1,94,0.8215250482500689,-108390.93147384177,190.54918275098441,1.6548135525514454,80.8285660253 250.826247527 168.345186447
0.1,95,0.9403920411055814,-108390.93147384177,190.6376699929419,1.7704912412405633,80.8856188123 250.884872429 168.229508759
0.1,96,0.7411743015373337,-108390.93147384177,190.71628100147237,1.5718081142238418,80.785698019 250.786110095 168.428191886
0.1,97,0.39280192582883217,-108390.93147384177,190.77353379418597,1.144263388234151,80.5717354611 250.572527927 168.855736612
0.1,98,0.10701806791352958,-108390.93147384177,190.80342638053654,0.5972657019804046,80.2983398385 250.298925864 169.402734298
0.1,99,0.000526453064175857,-108390.93147384177,190.80553036094327,0.041890137097567504,80.020850333 250.021039804 169.958109863
0.1,100,0.05493066647027626,-108390.93147384177,190.78412995103187,0.4279044342924294,79.7860996648 249.785995901 170.427904434
1.0,1,4449.382716049382,-115405.55555555555,66.66666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
1.0,2,1458.3964205555098,-112378.3950617284,91.4629628887331,40.16666666045643,87.037037101 283.129629559 129.83333334
1.0,3,743.2493479797658,-112378.3950617284,113.58024717235358,42.38888854868482,100.271604179 272.11728437 127.611111451
1.0,4,712.156354494706,-111905.77499423567,136.19958876723322,42.30555517025441,99.6862134607 272.61934171 127.69444483
1.0,5,642.9515586895227,-110093.7882964289,160.42352564851205,41.11111080877092,96.8871739271 274.223936882 128.888889191
1.0,6,640.9741668796019,-109499.51608354265,184.7143921485642,39.958333078439864,95.6674665769 274.290866502 130.041666922
1.0,7,640.7883541022974,-108931.80447633189,208.57495061586292,39.402777551261124,95.5422190646 273.860558487 130.597222449
1.0,8,306.17903633318303,-108931.80447633189,221.90905852520598,29.044806877257116,95.7106989063 263.334107971 140.955193123
1.0,9,62.2443682828763,-108931.80447633189,224.84022245143802,17.15950098372727,94.2283370124 252.931163972 152.840499016
1.0,10,45.18287160528078,-108931.80447633189,218.65003207935916,13.918685804481882,93.9186858045 243.809809639 162.271504556
1.0,11,102.15027710915297,-108931.80447633189,207.52879274858958,12.884195944785077,92.8841959448 238.878760851 168.237043204
1.0,12,85.89213561427837,-108931.80447633189,196.82725792947713,10.701534778167002,89.174343767 239.298465222 171.527191011
1.0,13,35.238688303118025,-108931.80447633189,189.9727034043752,6.854554492575602,83.7508550257 243.145445507 173.103699467
1.0,14,4.7861744862874644,-108740.22186819224,187.68888037988387,3.9001714341795832,78.3836515506 247.716177015 173.900171434
1.0,15,15.33819680321086,-108740.22186819224,188.04956069714123,4.274550411798103,75.7254495882 250.360680317 173.913870094
1.0,16,15.559029078510516,-108626.5894007096,188.89755771371705,4.120970980397999,75.8790290196 250.847997017 173.272973964
1.0,17,4.9581334868714215,-108468.61229769792,189.1265347660476,2.4223745347634633,77.5776254652 250.228977108 172.193397427
1.0,18,0.2723808757400867,-108468.61229769792,188.74587644158706,0.9281845475438502,79.4524737328 249.61934172 170.928184548
1.0,19,0.6950811395926613,-108468.61229769792,188.30690082597135,0.7198326362160117,80.7198326362 249.561024419 169.719142945
1.0,20,1.2340376770510435,-108468.61229769792,188.30657041088307,1.2419129850207042,81.241912985 249.999669615 168.7584174
1.0,21,1.230128168209057,-108468.61229769792,188.89277915982902,1.8352568008161256,81.249048022 250.586208779 168.164743199
1.0,22,1.229975519727199,-108468.5254678366,189.88397493428883,2.024109183432728,81.0329133763 250.991195807 167.975890817
1.0,23,1.0622133596153909,-108425.48940175503,190.95089324617933,1.8441346570121482,80.7772163081 251.066918349 168.155865343
1.0,24,0.6251883303773291,-108420.92954738828,191.799573677625,1.3868001292963186,80.5381196561 250.848680473 168.613199871
1.0,25,0.19371032109352004,-108420.92954738828,192.26970587186415,0.7745546909474115,80.3044224509 250.47013224 169.225445309
1.0,26,0.005542775467327898,-108420.92954738828,192.34254937587662,0.13525773747340963,80.0624141849 250.072843553 169.864742263
1.0,27,0.05555098035766781,-108420.92954738828,192.09632023053223,0.42003265252418487,79.8261964429 249.753770905 170.420032653
1.0,28,0.2011921631064521,-108420.92954738828,191.65111547788507,0.8127691773712797,79.6324355253 249.554795297 170.812769177
1.0,29,0.30361731592845925,-108420.92954738828,191.12810766800303,1.0045880662609648,79.5184196947 249.476992239 171.004588066
1.0,30,0.2982095968947821,-108420.92954738828,190.62830106484353,0.997005784480649,79.5028007714 249.500193444 170.997005784
1.0,31,0.20411371073442103,-108392.04572715145,190.22509444087638,0.8245195804537389,79.5786869981 249.596793422 170.82451958
1.0,32,0.08876079410179916,-108392.04572715145,189.9631188816602,0.5433611458619225,79.7186143698 249.738024484 170.543361146
1.0,33,0.014376610330188206,-108392.04572715145,189.85904617664673,0.21850226069031464,79.8855704024 249.895927337 170.218502261
1.0,34,0.0023568206786797065,-108392.04572715145,189.90368734942408,0.0886305197154229,80.0439893061 250.044641214 169.91136948
1.0,35,0.032641192054856896,-108392.04572715145,190.06632541839085,0.3298027514858006,80.1671646422 250.162638109 169.670197249
1.0,36,0.0679310161945149,-108392.04572715145,190.30180539008708,0.4758124910274546,80.2403324789 250.235480012 169.524187509
1.0,37,0.08055810526270026,-108392.04572715145,190.55960335655746,0.5181852002093308,80.2603871928 250.257798007 169.4818148
1.0,38,0.06546357700135903,-108392.04572715145,190.79308764508178,0.4671316020136089,80.2336472716 250.23348433 169.532868398
1.0,39,0.03606748559875632,-108392.04572715145,190.96701927322437,0.3467316829306526,80.1728000119 250.173931671 169.653268317
1.0,40,0.010672827499914753,-108392.04572715145,191.06193070578107,0.18860981801788057,80.0936983415 250.094911476 169.811390182
1.0,41,0.00019385773643959726,-108392.04572715145,191.074957637821,0.02540664282159355,80.0123796662 250.013026977 169.974593357
1.0,42,0.003955813574351411,-108392.04572715145,191.01756275307827,0.11483042890728257,79.9425644107 249.94260516 170.114830429
1.0,43,0.013554094428811888,-108392.04572715145,190.91114314097965,0.21255623705553717,79.8938633299 249.893580433 170.212556237
1.0,44,0.02005733442955858,-108392.04572715145,190.7817072866735,0.25856835944122736,79.87086745 249.870564191 170.258568359
1.0,45,0.019326951898587054,-108392.04572715145,190.65471781499588,0.2538170582617738,79.873172369 249.873010573 170.253817058
1.0,46,0.012923704452788412,-108390.53352875059,190.5509353015597,0.20755478902879076,79.8962276804 249.896217531 170.207554789
1.0,47,0.005419855873365022,-108390.53352875059,190.48376542828964,0.13441042556542016,79.9327594043 249.93283017 170.134410426
1.0,48,0.0007819898832663838,-108390.53352875059,190.4582757924787,0.05105504451563547,79.9744345483 249.974510407 170.051055045
1.0,49,0.0002173566359395948,-108390.53352875059,190.47175447372132,0.02691695442786113,80.0134382304 250.013478724 169.973083046
1.0,50,0.0022920167151778137,-108390.53352875059,190.51545945598684,0.08740746899337637,80.043702444 250.043705025 169.912592531
1.0,51,0.004557041040875965,-108390.53352875059,190.57707475221142,0.12324832818728737,80.0616329893 250.061615339 169.876751672
1.0,52,0.005272781636883012,-108390.53352875059,190.64335241222884,0.13257433220067583,80.0662966294 250.066277703 169.867425668
1.0,53,0.004194935231651297,-108390.53352875059,190.70247247020905,0.11825029024311107,80.0591301892 250.059120101 169.88174971
1.0,54,0.002250136032118262,-108390.53352875059,190.7457747294517,0.08660521762899975,80.043302915 250.043302303 169.913394782
1.0,55,0.0006292939910318848,-108390.53352875059,190.7686769736557,0.04580013184232712,80.0228978441 250.022902288 169.954199868
1.0,56,5.197906923069101e-06,-108390.53352875059,190.77076058564106,0.004162549481520728,80.0020788937 250.002083656 169.995837451
1.0,57,0.0002925796894062964,-108390.53352875059,190.75514722654262,0.031229183123087978,79.9843841321 249.984386685 170.031229183
1.0,58,0.0009246571365895914,-108390.53352875059,190.7273885654253,0.05551741915851949,79.9722411981 249.972241383 170.055517419
1.0,59,0.0013268650028112569,-108390.53352875059,190.69413563137584,0.06650470245776319,79.9667481878 249.96674711 170.066504702
1.0,60,0.001251045209142896,-108390.53352875059,190.66184668711867,0.06457664499706084,79.9677122555 249.967711099 170.064576645
1.0,61,0.0008176776905561042,-108390.21527903214,190.63574276899027,0.05220714678617355,79.9738967277 249.973896125 170.052207147
1.0,62,0.0003306339469410617,-108390.21527903214,190.61914370527947,0.03319803126936449,79.983400989 249.98340098 170.033198031
1.0,63,4.19431255581414e-05,-108390.21527903214,190.61323177173915,0.01182408731722262,79.9940878028 249.99408811 170.011824087
1.0,64,1.8999716325117406e-05,-108390.21527903214,190.6172110032663,0.007958223019102206,80.0039789482 250.003979275 169.992041777
1.0,65,0.0001603195693057683,-108390.21527903214,190.62876961416768,0.023117120439650307,80.0115584663 250.011558654 169.97688288
1.0,66,0.0003052185519982262,-108390.21527903214,190.64471793590783,0.03189669103787196,80.015948326 250.015948365 169.968103309
1.0,67,0.00034469864377072694,-108390.21527903214,190.66166631940433,0.03389689439481458,80.0169484676 250.016948427 169.966103106
1.0,68,0.0002684577950903099,-108390.21527903214,190.67662338180787,0.02991425801940295,80.0149571522 250.014957106 169.970085742
1.0,69,0.00014009290776489277,-108390.21527903214,190.68742817950405,0.02160969472132024,80.0108048536 250.010804841 169.978390305
1.0,70,3.688020035247598e-05,-108390.21527903214,190.69297195804816,0.01108761963263305,80.0055437976 250.005543822 169.98891238
1.0,71,6.661962174711636e-08,-108390.21527903214,190.69320758518876,0.00047129724265460027,80.0002356265 250.000235671 169.999528703
1.0,72,2.1442235050978934e-05,-108390.21527903214,190.6889804756489,0.00845417752401545,79.9957728884 249.995772934 170.008454178
1.0,73,6.292799131329874e-05,-108390.21527903214,190.68173893395877,0.014483033580290794,79.9927584645 249.992758502 170.014483034
1.0,74,8.76541728746251e-05,-108390.21527903214,190.67319228894985,0.01709323144712016,79.99145337 249.991453399 170.017093231
1.0,75,8.088071783440525e-05,-108390.21527903214,190.66498250011074,0.01641951467377112,79.9917902307 249.991790255 170.016419515
1.0,76,5.1652500296292146e-05,-108390.07521268472,190.65842172439235,0.013121488532874537,79.9934392438 249.993439268 170.013121489
1.0,77,2.0104493539551982e-05,-108390.07521268472,190.65432858956763,0.008186209006169065,79.9959068823 249.995906909 170.008186209
1.0,78,2.2018593508035515e-06,-108390.07521268472,190.6529740113087,0.002709098281655997,79.9986454365 249.998645465 170.002709098
1.0,79,1.5961598857077224e-06,-108390.07521268472,190.65412732614124,0.0023066866710905742,80.0011533284 250.001153358 169.997693313
1.0,80,1.1170360442501424e-05,-108390.07521268472,190.65717833227922,0.006102069352351691,80.0030510198 250.00305105 169.993897931
1.0,81,2.0407998791020183e-05,-108390.07521268472,190.6613022465819,0.008247886427568574,80.0041239287 250.004123958 169.991752114
1.0,82,2.2505802406764794e-05,-108390.07521268472,190.66563293195728,0.008661429335802495,80.0043307006 250.004330729 169.991338571
1.0,83,1.715709489817566e-05,-108390.04616008823,190.6694141457435,0.007562486696883752,80.0037812295 250.003781257 169.992437513
1.0,84,8.703467182108792e-06,-108390.04616008823,190.672107264381,0.005386296587147399,80.0026931345 250.002693162 169.994613703
1.0,85,2.146751300239132e-06,-108390.04616008823,190.67344478405053,0.0026750986003776234,80.0013375355 250.001337563 169.997324901
1.0,86,2.7237712666332575e-10,-108390.04616008823,190.67342971802867,3.0072955212290253e-05,79.9999849496 249.999984977 170.000030073
1.0,87,1.5587258113034315e-06,-108390.04616008823,190.67229000827294,0.002279360552279286,79.9988603057 249.998860334 170.002279361
1.0,88,4.272747214179188e-06,-108390.04616008823,190.67040304701428,0.0037738635915616214,79.9981130542 249.998113082 170.003773864
1.0,89,5.782563928223453e-06,-108390.04616008823,190.66820786971795,0.004390295726864224,79.9978048381 249.997804866 170.004390296
1.0,90,5.222481755921426e-06,-108390.04616008823,190.66612170864303,0.004172263419548017,79.9979138542 249.997913882 170.004172263
1.0,91,3.257585189157848e-06,-108390.02432805048,190.6644740878719,0.003295182800115981,79.9983523945 249.998352423 170.003295183
1.0,92,1.2182296912459774e-06,-108390.02432805048,190.66346652086327,0.002015075423344115,79.9989924481 249.998992476 170.002015075
1.0,93,1.1255508272685165e-07,-108390.02432805048,190.6631602597707,0.0006124636088884472,79.999693754 249.999693782 170.000612464
1.0,94,1.300502703643776e-07,-108390.02432805048,190.6634894637715,0.0006584666080016177,80.0003292191 250.000329247 169.999341533
1.0,95,7.754885949112854e-07,-108390.02432805048,190.66429335468857,0.0016078404544259683,80.0008039061 250.000803934 169.99839216
1.0,96,1.362300859746432e-06,-108390.02432805048,190.66535883616496,0.0021310216943959404,80.0010654967 250.001065525 169.997868978
1.0,97,1.467600277734784e-06,-108390.02432805048,190.6664647295907,0.0022118455563884254,80.0011059087 250.001105937 169.997788154
1.0,98,1.0950132635635753e-06,-108390.00900645799,190.66741998401537,0.00191056765504527,80.0009552698 250.000955298 169.998089432
1.0,99,5.395050740382055e-07,-108390.00900645799,190.66809049691025,0.0013410846127612785,80.0006705283 250.000670556 169.998658915
1.0,100,1.2401631125266075e-07,-108390.00900645799,190.668411973061,0.0006430111273516559,80.0003214915 250.00032152 169.999356989
10.0,1,4449.382716049382,-115405.55555555555,666.6666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
10.0,2,2539.7659669689633,-115405.55555555555,187.7037035767259,45.162962979628446,68.8462962738 295.16296298 135.990740747
10.0,3,109.84665622430683,-115405.55555555555,180.9135809301887,39.58765430164658,74.2839506602 289.587654302 136.128395038
10.0,4,15.531088049063191,-115405.55555555555,203.66666675898045,36.28765430000038,78.5839506615 286.2876543 135.128395039
10.0,5,2.77239049565893,-114402.22220887625,208.4732511900819,35.39094650884107,81.9226337562 283.468312752 134.609053491
10.0,6,9.22715166700116,-113809.41013301896,217.2421126217364,35.033401913785156,83.5075445665 281.525857347 134.966598086
10.0,7,4.95298718436702,-112727.91722453032,223.66666653797836,34.03340192716911,83.8075445932 280.225857334 135.966598073
10.0,8,5.925422486014904e-14,-112441.11108800488,223.666665858251,33.033401991371704,84.1075447392 278.925857252 136.966598009
10.0,9,7.171340297580525e-15,-112441.11100431193,223.66666612835218,32.03340203339138,84.4075448353 277.625857198 137.966597967
10.0,10,1.2417608834537159e-14,-112441.11100431193,223.66666648702164,31.03340204644536,84.7075448667 276.32585718 138.966597954
10.0,11,1.068889807526219e-15,-112441.11100431193,223.6666665907137,30.03340205095128,85.0075448786 275.025857172 139.966597949
10.0,12,9.697789206127514e-15,-112441.11100431193,223.66666624209415,29.03340207677826,85.3075449462 273.725857131 140.966597923
10.0,13,2.4465211149421583e-14,-112441.11100431193,223.66666677505123,28.033402065694133,85.6075449238 272.425857142 141.966597934
10.0,14,2.027339484968467e-19,-112441.11100431193,223.66666677734884,27.033402054259113,85.9075449008 271.125857153 142.966597946
10.0,15,1.8887014354236168e-19,-112441.11100431193,223.666666778916,26.03340204265433,86.2075448773 269.825857165 143.966597957
10.0,16,1.1857127794983245e-18,-112441.11100431193,223.66666677114324,25.03340203140141,86.5075448534 268.525857178 144.966597969
10.0,17,1.4012281763740985e-17,-112441.11100431193,223.66666673133466,24.0334020219872,86.8075448295 267.225857193 145.966597978
10.0,18,4.0497495390358574e-17,-112441.11100431193,223.66666666102105,23.033402015145782,87.1075448046 265.925857211 146.966597985
10.0,19,2.0365043629801536e-16,-112441.11100431193,223.66666650450554,22.033402014425974,87.40754478 264.625857234 147.966597986
10.0,20,4.091157589088312e-15,-112441.11100431193,223.66666658936197,21.03340202147112,87.7075447946 263.325857227 148.966597979
10.0,21,6.661129899828191e-16,-112441.11100431193,223.66666629681504,20.033402036033976,88.0075448066 262.025857229 149.966597964
10.0,22,3.7448401453449795e-16,-112441.11100431193,223.66666627260315,19.03340205590763,88.3075448274 260.725857228 150.966597944
10.0,23,6.992825290632717e-16,-112441.11100431193,223.6666662378991,18.033402067248204,88.6075448435 259.425857224 151.966597933
10.0,24,7.1359324072650385e-16,-112441.11100431193,223.6666665423337,17.033402067489646,88.9075448558 258.125857212 152.966597933
10.0,25,1.488693080485424e-16,-112441.11100431193,223.66666659057842,16.03340207440283,89.2075448792 256.825857195 153.966597926
10.0,26,5.1066913172340256e-17,-112441.11100431193,223.66666657690615,15.033402075188604,89.5075448885 255.525857187 154.966597925
10.0,27,5.2431862395067085e-15,-112441.11100431193,223.66666681529068,14.033402056261934,89.8075448466 254.22585721 155.966597944
10.0,28,8.969813377560682e-18,-112441.11100431193,223.66666684542963,13.033402036124187,90.1075448043 252.925857232 156.966597964
10.0,29,1.682841834093132e-17,-112441.11100431193,223.6666668801908,12.033402014463803,90.407544761 251.625857253 157.966597986
10.0,30,4.678241253252309e-14,-112441.11100431193,223.66666438058303,11.033402054254083,90.7075446528 250.325857402 158.966597946
10.0,31,0.31631921576182387,-112441.11076368691,217.17236722077388,10.845187160838663,90.8451871608 249.350572371 159.804240471
10.0,32,0.87989707669839,-111629.32362251346,206.34094948158406,10.712044202943147,90.7120442029 248.916858245 160.371097552
10.0,33,0.7669505967652643,-110275.39640553162,196.22857688159684,10.326091941288226,90.3260919413 248.988762743 160.685145316
10.0,34,0.2941158739668268,-109011.34984117246,189.96635284455152,9.78358410100347,89.783584101 249.373778427 160.842637472
